Player,Pos,Age,Tm,Link,Status
Tim Hardaway Jr.,SG,30,DAL,https://www.basketball-reference.com/players/h/hardati02.html,Active
James Harden,PG,33,PHI,https://www.basketball-reference.com/players/h/hardeja01.html,Active
Jaden Hardy,SG,20,DAL,https://www.basketball-reference.com/players/h/hardyja02.html,Active
Ron Harper Jr.,SF,22,TOR,https://www.basketball-reference.com/players/h/harpero02.html,Active
Montrezl Harrell,C,29,PHI,https://www.basketball-reference.com/players/h/harremo01.html,Active
Gary Harris,SG,28,ORL,https://www.basketball-reference.com/players/h/harriga01.html,Active
Joe Harris,SG,31,BRK,https://www.basketball-reference.com/players/h/harrijo01.html,Active
Kevon Harris,SG,25,ORL,https://www.basketball-reference.com/players/h/harrike01.html,Active
Tobias Harris,PF,30,PHI,https://www.basketball-reference.com/players/h/harrito02.html,Active
Josh Hart,SF,27,POR,https://www.basketball-reference.com/players/h/hartjo01.html,Active
Isaiah Hartenstein,C,24,NYK,https://www.basketball-reference.com/players/h/harteis01.html,Active
Udonis Haslem,C,42,MIA,https://www.basketball-reference.com/players/h/hasleud01.html,Active
Sam Hauser,PF,25,BOS,https://www.basketball-reference.com/players/h/hausesa01.html,Active
Jaxson Hayes,C,22,NOP,https://www.basketball-reference.com/players/h/hayesja02.html,Active
Killian Hayes,PG,21,DET,https://www.basketball-reference.com/players/h/hayeski01.html,Active
Gordon Hayward,SF,32,CHO,https://www.basketball-reference.com/players/h/haywago01.html,Active
Juancho Hernangómez,PF,27,TOR,https://www.basketball-reference.com/players/h/hernaju01.html,Active
Willy Hernangómez,C,28,NOP,https://www.basketball-reference.com/players/h/hernawi01.html,Active
Tyler Herro,SG,23,MIA,https://www.basketball-reference.com/players/h/herroty01.html,Active
Buddy Hield,SF,30,IND,https://www.basketball-reference.com/players/h/hieldbu01.html,Active
Haywood Highsmith,SF,26,MIA,https://www.basketball-reference.com/players/h/highsha01.html,Active
George Hill,PG,36,MIL,https://www.basketball-reference.com/players/h/hillge01.html,Active
Malcolm Hill,SF,27,CHI,https://www.basketball-reference.com/players/h/hillma01.html,Active
Aaron Holiday,PG,26,ATL,https://www.basketball-reference.com/players/h/holidaa01.html,Active
Jrue Holiday,PG,32,MIL,https://www.basketball-reference.com/players/h/holidjr01.html,Active
Justin Holiday,SG,33,ATL,https://www.basketball-reference.com/players/h/holidju01.html,Active
Richaun Holmes,C,29,SAC,https://www.basketball-reference.com/players/h/holmeri01.html,Active
Al Horford,C,36,BOS,https://www.basketball-reference.com/players/h/horfoal01.html,Active
Talen Horton-Tucker,SG,22,UTA,https://www.basketball-reference.com/players/h/hortota01.html,Active
Danuel House Jr.,SF,29,PHI,https://www.basketball-reference.com/players/h/houseda01.html,Active
Caleb Houstan,SF,20,ORL,https://www.basketball-reference.com/players/h/houstca01.html,Active
Trevor Hudgins,PG,23,HOU,https://www.basketball-reference.com/players/h/hudgitr01.html,Active
Kevin Huerter,SG,24,SAC,https://www.basketball-reference.com/players/h/huertke01.html,Active
De'Andre Hunter,SF,25,ATL,https://www.basketball-reference.com/players/h/huntede01.html,Active
Bones Hyland,PG,22,DEN,https://www.basketball-reference.com/players/h/hylanbo01.html,Active
Serge Ibaka,C,33,MIL,https://www.basketball-reference.com/players/i/ibakase01.html,Active
Andre Iguodala,SF,39,GSW,https://www.basketball-reference.com/players/i/iguodan01.html,Active
Joe Ingles,SF,35,MIL,https://www.basketball-reference.com/players/i/inglejo01.html,Active
Brandon Ingram,SF,25,NOP,https://www.basketball-reference.com/players/i/ingrabr01.html,Active
Kyrie Irving,PG,30,BRK,https://www.basketball-reference.com/players/i/irvinky01.html,Active
Jonathan Isaac,PF,25,ORL,https://www.basketball-reference.com/players/i/isaacjo01.html,Active
Jaden Ivey,SG,20,DET,https://www.basketball-reference.com/players/i/iveyja01.html,Active
Isaiah Jackson,C,21,IND,https://www.basketball-reference.com/players/j/jacksis01.html,Active
Jaren Jackson Jr.,C,23,MEM,https://www.basketball-reference.com/players/j/jacksja02.html,Active
Justin Jackson,SF,27,BOS,https://www.basketball-reference.com/players/j/jacksju01.html,Active
Reggie Jackson,PG,32,LAC,https://www.basketball-reference.com/players/j/jacksre01.html,Active
LeBron James,PF,38,LAL,https://www.basketball-reference.com/players/j/jamesle01.html,Active
Ty Jerome,SG,25,GSW,https://www.basketball-reference.com/players/j/jeromty01.html,Active
Isaiah Joe,SG,23,OKC,https://www.basketball-reference.com/players/j/joeis01.html,Active
Alize Johnson,PF,26,SAS,https://www.basketball-reference.com/players/j/johnsal02.html,Active
Cameron Johnson,PF,26,PHO,https://www.basketball-reference.com/players/j/johnsca02.html,Active
Jalen Johnson,SF,21,ATL,https://www.basketball-reference.com/players/j/johnsja05.html,Active
James Johnson,PF,35,IND,https://www.basketball-reference.com/players/j/johnsja01.html,Active
Keldon Johnson,SF,23,SAS,https://www.basketball-reference.com/players/j/johnske04.html,Active
Keon Johnson,SG,20,POR,https://www.basketball-reference.com/players/j/johnske07.html,Active
Stanley Johnson,SF,26,SAS,https://www.basketball-reference.com/players/j/johnsst04.html,Active
Nikola Jokić,C,27,DEN,https://www.basketball-reference.com/players/j/jokicni01.html,Active
Carlik Jones,PG,25,CHI,https://www.basketball-reference.com/players/j/jonesca03.html,Active
Damian Jones,C,27,LAL,https://www.basketball-reference.com/players/j/jonesda03.html,Active
Derrick Jones Jr.,SF,25,CHI,https://www.basketball-reference.com/players/j/jonesde02.html,Active
Herbert Jones,SF,24,NOP,https://www.basketball-reference.com/players/j/joneshe01.html,Active
Kai Jones,C,22,CHO,https://www.basketball-reference.com/players/j/joneska01.html,Active
Tre Jones,PG,23,SAS,https://www.basketball-reference.com/players/j/jonestr01.html,Active
Tyus Jones,PG,26,MEM,https://www.basketball-reference.com/players/j/jonesty01.html,Active
DeAndre Jordan,C,34,DEN,https://www.basketball-reference.com/players/j/jordade01.html,Active
